team_game_key,game_id,date_key,game_datetime,game_type,team_id,opponent_team_id,is_home,is_win,team_city,team_name,opponent_team_city,opponent_team_name,team_score,opponent_score,assists,blocks,steals,field_goals_attempted,field_goals_made,field_goal_pct,three_pointers_attempted,three_pointers_made,three_point_pct,free_throws_attempted,free_throws_made,free_throw_pct,defensive_rebounds,offensive_rebounds,total_rebounds,personal_fouls,turnovers,plus_minus_points,minutes_played,q1_points,q2_points,q3_points,q4_points,bench_points,biggest_lead,biggest_scoring_run,lead_changes,points_fast_break,points_from_turnovers,points_in_the_paint,points_second_chance,times_tied,timeouts_remaining,season_wins_before_game,season_losses_before_game,win_pct_before_game,def_rating,estimated_def_rating,estimated_net_rating,estimated_off_rating,estimated_pace,effective_fg_pct,net_rating,off_rating,pace,pie,possessions,rebound_pct,team_turnover_pct,true_shooting_pct,assist_pct,four_factor_efg_pct,free_throw_rate,opp_effective_fg_pct,opp_free_throw_rate,opp_off_rebound_pct,opp_turnover_pct,off_rebound_pct,four_factor_turnover_pct
12500008_1610612752,12500008,20251002,2025-10-02 12:00:00,Preseason,1610612752,1610612755,1,1.0,New York,Knicks,Philadelphia,76ers,99,84,19.0,2.0,13.0,91.0,35.0,0.385,39.0,8.0,0.205,32.0,21.0,0.656,38.0,20.0,58.0,26.0,17.0,15.0,240.0,25.0,28.0,28.0,18.0,61.0,26.0,10.0,3.0,24.0,18.0,48.0,23.0,5.0,1.0,1.0,0.0,1.0,82.4,82.3,14.7,97.0,102.1,0.429,15.7,98.0,101.5,0.571,101.0,0.526,0.168,0.471,0.543,0.429,0.352,0.365,0.41,0.264,0.196,0.349,0.168
12500008_1610612755,12500008,20251002,2025-10-02 12:00:00,Preseason,1610612755,1610612752,0,0.0,Philadelphia,76ers,New York,Knicks,84,99,17.0,5.0,8.0,78.0,27.0,0.346,35.0,3.0,0.086,32.0,27.0,0.844,36.0,10.0,46.0,24.0,20.0,-15.0,240.0,25.0,18.0,14.0,27.0,38.0,6.0,11.0,3.0,10.0,14.0,44.0,13.0,5.0,1.0,0.0,1.0,0.0,98.0,97.0,-14.7,82.3,102.1,0.365,-15.7,82.4,101.5,0.429,102.0,0.474,0.196,0.456,0.63,0.365,0.41,0.429,0.352,0.349,0.168,0.264,0.196
12500001_1610612747,12500001,20251003,2025-10-03 22:00:00,Preseason,1610612747,1610612756,1,0.0,Los Angeles,Lakers,Phoenix,Suns,81,103,10.0,7.0,9.0,74.0,23.0,0.311,35.0,6.0,0.171,37.0,29.0,0.784,35.0,11.0,46.0,25.0,22.0,-22.0,240.0,16.0,28.0,18.0,19.0,41.0,3.0,12.0,5.0,6.0,11.0,22.0,14.0,2.0,1.0,0.0,1.0,0.0,100.0,95.9,-15.9,80.0,104.4,0.351,-19.8,80.2,102.0,0.329,101.0,0.455,0.218,0.449,0.435,0.351,0.5,0.494,0.289,0.321,0.155,0.232,0.218
12500001_1610612756,12500001,20251003,2025-10-03 22:00:00,Preseason,1610612756,1610612747,0,1.0,Phoenix,Suns,Los Angeles,Lakers,103,81,29.0,5.0,9.0,90.0,38.0,0.422,41.0,13.0,0.317,26.0,14.0,0.538,40.0,10.0,50.0,31.0,16.0,22.0,240.0,31.0,26.0,30.0,16.0,47.0,27.0,11.0,5.0,19.0,27.0,48.0,18.0,2.0,1.0,1.0,0.0,1.0,80.2,80.0,15.9,95.9,104.4,0.494,19.8,100.0,102.0,0.671,103.0,0.545,0.155,0.508,0.763,0.494,0.289,0.351,0.5,0.232,0.218,0.321,0.155
12500010_1610612752,12500010,20251004,2025-10-04 11:00:00,Preseason,1610612752,1610612755,0,1.0,New York,Knicks,Philadelphia,76ers,113,104,21.0,4.0,10.0,86.0,38.0,0.442,36.0,12.0,0.333,33.0,25.0,0.758,32.0,11.0,43.0,24.0,14.0,9.0,240.0,32.0,28.0,23.0,30.0,64.0,18.0,9.0,1.0,19.0,24.0,44.0,18.0,1.0,1.0,2.0,0.0,1.0,103.0,100.3,8.8,109.2,103.6,0.512,8.9,111.9,101.0,0.53,101.0,0.49,0.139,0.562,0.553,0.512,0.384,0.519,0.392,0.286,0.198,0.275,0.139
12500010_1610612755,12500010,20251004,2025-10-04 11:00:00,Preseason,1610612755,1610612752,1,0.0,Philadelphia,76ers,New York,Knicks,104,113,22.0,6.0,11.0,79.0,35.0,0.443,33.0,12.0,0.364,31.0,22.0,0.71,32.0,9.0,41.0,24.0,19.0,-9.0,240.0,23.0,24.0,28.0,29.0,57.0,3.0,7.0,1.0,12.0,22.0,42.0,14.0,1.0,1.0,0.0,2.0,0.0,111.9,109.2,-8.8,100.3,103.6,0.519,-8.9,103.0,101.0,0.47,101.0,0.51,0.198,0.561,0.629,0.519,0.392,0.512,0.384,0.275,0.139,0.286,0.198
12500027_1610612748,12500027,20251004,2025-10-04 20:00:00,Preseason,1610612748,1610612753,1,0.0,Miami,Heat,Orlando,Magic,118,126,27.0,5.0,10.0,85.0,38.0,0.447,29.0,14.0,0.483,38.0,28.0,0.737,28.0,12.0,40.0,27.0,18.0,-8.0,240.0,29.0,32.0,32.0,25.0,79.0,15.0,10.0,19.0,17.0,21.0,46.0,15.0,9.0,1.0,0.0,1.0,0.0,117.8,116.0,-6.4,109.5,108.2,0.529,-6.4,111.3,106.5,0.474,106.0,0.422,0.17,0.58,0.711,0.529,0.447,0.526,0.316,0.464,0.178,0.302,0.17
12500027_1610612753,12500027,20251004,2025-10-04 20:00:00,Preseason,1610612753,1610612748,0,1.0,Orlando,Magic,Miami,Heat,126,118,21.0,9.0,10.0,98.0,45.0,0.459,39.0,13.0,0.333,31.0,23.0,0.742,36.0,22.0,58.0,29.0,18.0,8.0,240.0,21.0,29.0,40.0,36.0,85.0,8.0,9.0,19.0,8.0,20.0,58.0,43.0,9.0,1.0,1.0,0.0,1.0,111.3,109.5,6.4,116.0,108.2,0.526,6.4,117.8,106.5,0.526,107.0,0.578,0.178,0.564,0.467,0.526,0.316,0.529,0.447,0.302,0.17,0.464,0.178
12500028_1610612743,12500028,20251004,2025-10-04 21:00:00,Preseason,1610612743,1610612750,1,0.0,Denver,Nuggets,Minnesota,Timberwolves,116,126,27.0,4.0,9.0,75.0,41.0,0.547,28.0,11.0,0.393,28.0,23.0,0.821,30.0,7.0,37.0,22.0,15.0,-10.0,240.0,28.0,35.0,17.0,36.0,67.0,1.0,8.0,1.0,16.0,14.0,48.0,7.0,0.0,1.0,0.0,1.0,0.0,126.0,129.3,-8.9,120.4,96.9,0.62,-8.8,117.2,99.5,0.484,99.0,0.476,0.162,0.664,0.659,0.62,0.373,0.597,0.295,0.298,0.11,0.189,0.162
12500028_1610612750,12500028,20251004,2025-10-04 21:00:00,Preseason,1610612750,1610612743,0,1.0,Minnesota,Timberwolves,Denver,Nuggets,126,116,32.0,3.0,7.0,88.0,45.0,0.511,30.0,15.0,0.5,26.0,21.0,0.808,28.0,13.0,41.0,24.0,11.0,10.0,240.0,40.0,32.0,24.0,30.0,86.0,19.0,15.0,1.0,16.0,20.0,50.0,15.0,0.0,1.0,1.0,0.0,1.0,117.2,120.4,8.9,129.3,96.9,0.597,8.8,126.0,99.5,0.516,100.0,0.524,0.11,0.634,0.711,0.597,0.295,0.62,0.373,0.189,0.162,0.298,0.11
